landuse	x.axis	y.axis	S_Series	Sam_Dist	type	Sam_Depth	Latitude	Longitude	Elevation	gravimetric	bd	Total_N	Total_C 	OM	C_N	Lat	Long	Elev2	Code_x.y	
Grassland	136	479	KkoC	0.5	N2	(0-15)				0.21	1.382	0.154	1.485	2.560	9.643				KkoC-M	
Grassland	134	479.5	KkoC	0.5	N2	(0-15)				0.22	1.461	0.227	2.360	4.069	10.396				KkoC-M	
Grassland	134.5	479.5	KkoC	0.5	N2	(0-15)				0.21	1.524	0.145	1.332	2.297	9.186				KkoC-M	
Grassland	135	479.5	KkoC	0.5	N2	(0-15)				0.23	1.371	0.208	1.999	3.447	9.611				KkoC-M	
Grassland	136	479.5	KkoC	0.5	N2	(0-15)				0.23	1.384	0.152	1.442	2.486	9.487				KkoC-M	
Grassland	134	480	KkoC	0.5	N2	(0-15)				0.20	1.497	0.153	1.521	2.622	9.941				KkoC-M	
Grassland	134.5	480	KkoC	0.5	N2	(0-15)				0.24	1.336	0.166	1.633	2.816	9.837				KkoC-M	
Grassland	135.5	480	KkoC	0.5	N2	(0-15)				0.32	1.217	0.186	1.848	3.186	9.935				KkoC-M	
Grassland	134	480.5	KkoC	0.5	N2	(0-15)				0.20	1.357	0.197	2.055	3.543	10.431				KkoC-M	
Grassland	134.5	480.5	KkoC	0.5	N2	(0-15)				0.20	1.459	0.181	1.837	3.167	10.149				KkoC-M	
Grassland	135.5	480.5	KkoC	0.5	N2	(0-15)				0.19	1.463	0.157	1.441	2.484	9.178				KkoC-M	
Grassland	134	481	KkoC	0.5	N2	(0-15)				0.20	1.531	0.108	0.975	1.681	9.028				KkoC-M	
Grassland	136	481	KkoC	0.5	N2	(0-15)				0.20	1.500	0.115	1.089	1.878	9.470				KkoC-M	
Grassland	284	539	KkoC	0.5	N4	(0-15)				0.39	1.162	0.190	1.895	3.267	9.974				KkoC-O	
Grassland	284.5	539	KkoC	0.5	N4	(0-15)				0.32	1.142	0.223	2.278	3.928	10.215				KkoC-O	
Grassland	285.5	539	KkoC	0.5	N4	(0-15)				0.28	1.237	0.200	2.022	3.486	10.110				KkoC-O	
Grassland	286	539	KkoC	0.5	N4	(0-15)				0.29	1.174	0.168	1.730	2.983	10.298				KkoC-O	
Grassland	284	539.5	KkoC	0.5	N4	(0-15)				0.28	1.150	0.226	2.183	3.764	9.659				KkoC-O	
Grassland	284	540	KkoC	0.5	N4	(0-15)				0.34	1.202	0.215	2.161	3.726	9.734				KkoC-O	
Grassland	284	540.5	KkoC	0.5	N4	(0-15)				0.34	1.046	0.211	2.077	3.581	9.844				KkoC-O	
